e-Bio,contact@e-bio.tech,e-bio.tech,"Develops innovative electrochemical biosensors designed for rapid and portable diagnostics. This cutting-edge technology addresses the growing demand for accessible, on-the-go healthcare solutions by offering precise and efficient diagnostics. Their approach bridges biotechnology and electrochemistry to create a significant impact in healthcare accessibility.",Columbia biotech seach
3EO Health,hello@3eohealth.com,3eohealth.com,"Specializes in point-of-care diagnostic solutions that merge molecular diagnostic performance with the affordability of antigen tests. By striving to make high-quality diagnostics both accessible and cost-effective, 3EO Health contributes to global healthcare equality. Their partnership with the Wyss Institute showcases their commitment to leveraging advanced research in diagnostic technology.",Wyss Institute
Neuroview Technologies,info@neuroviewtech.com,neuroviewtech.com,"Focused on AI-driven neuroimaging tools, Neuroview Technologies aims to revolutionize brain health assessment and intervention. Their cutting-edge platform combines artificial intelligence with advanced imaging to provide accurate, actionable insights for clinicians and researchers. Their ties to Columbia's biotech initiatives underline their focus on leading innovation in neuroscience.",Columbia biotech seach
Applied Therapeutics,info@appliedtherapeutics.com,appliedtherapeutics.com,"A clinical-stage biopharmaceutical company, Applied Therapeutics is dedicated to developing transformative drugs targeting rare and debilitating diseases. Their pipeline underscores a commitment to addressing unmet medical needs, with a focus on advancing therapies through rigorous clinical trials. They are closely aligned with Columbia's biotech innovation network.",Columbia biotech seach
Oxipital AI,info@oxipitalai.com,oxipitalai.com,"Leverages artificial intelligence and vision-based technology to enhance medical imaging and diagnostics. By focusing on precision and efficiency, Oxipital AI empowers healthcare professionals with tools that streamline workflows and improve patient outcomes. Their affiliation with the Wyss Institute highlights their access to leading-edge biomedical research.",Wyss Institute
Breaking,info@breaking.com,https://www.breaking.com/,"Merges synthetic biology with advanced engineering to develop innovative materials and chemicals. Their expertise spans a range of applications, including sustainable production methods that align with modern ecological demands. With support from the Wyss Institute, they are driving next-generation material science.",Wyss Institute
NanoString Technologies,recruiting@nanostring.com,nanostring.com,"Offers sophisticated tools for high-resolution gene expression analysis and spatial biology, enabling breakthroughs in research and diagnostics. Their cutting-edge platforms support scientists in tackling complex biological questions. Collaboration with the Wyss Institute enhances their access to leading-edge insights in biotechnology.",Wyss Institute
Illumina,info@illumina.com,illumina.com,"Creates state-of-the-art genomic sequencing technologies to empower breakthroughs in healthcare and life sciences research. Their platforms enable researchers to unlock the power of the genome, driving advancements in personalized medicine, diagnostics, and genetic research. Based in San Diego, Illumina is a global leader in genomics innovation.",San Diego biotech
Molecular Assemblies,info@molecularassemblies.com,molecularassemblies.com,"Focuses on enzymatic DNA synthesis technology to revolutionize precision medicine and synthetic biology. Their innovations enable high-fidelity DNA synthesis, paving the way for advancements in gene therapy, biotechnology, and molecular engineering. Located in San Diego, they aim to redefine the future of DNA-based technologies.",San Diego biotech
Aptatek,info@aptatek.co,aptatek.com,"Develops portable diagnostic devices tailored for real-time monitoring and management of chronic diseases. Their solutions combine user-friendly design with robust diagnostic capabilities, making healthcare management more accessible. Their association with Columbia’s biotech initiatives reinforces their innovative approach.",Columbia biotech seach
